id,pid,name,oj
119,1,Chapter 7. Brute Force,nil
120,119,Examples,nil
121,120,Code,nil
122,121,524,uva
123,121,129,uva
124,121,10603,uva
125,120,Analysis,nil
126,125,725,uva
127,125,11059,uva
128,125,10976,uva
129,125,140,uva
130,125,1354,uva
131,125,1601,uva
132,125,11212,uva
133,125,12325,uva
134,125,1343,uva
135,125,1374,uva
136,125,1602,uva
137,125,1603,uva
138,119,Exercises,nil
139,138,208,uva
140,138,225,uva
141,138,211,uva
142,138,818,uva
143,138,690,uva
144,138,12113,uva
145,138,12558,uva
146,138,12107,uva
147,138,1604,uva
148,138,11214,uva
149,138,12569,uva
150,138,1533,uva
151,138,817,uva
152,138,307,uva
153,138,11882,uva
154,138,11846,uva
155,138,11694,uva
156,138,10384,uva
157,1,Chapter 8. Algorithm Design,nil
158,157,Examples,nil
159,158,Code,nil
160,159,11054,uva
161,159,11572,uva
162,159,10954,uva
163,158,Analysis,nil
164,163,120,uva
165,163,1605,uva
166,163,1152,uva
167,163,11134,uva
168,163,1606,uva
169,163,1471,uva
170,163,1451,uva
171,163,714,uva
172,163,12627,uva
173,163,11093,uva
174,163,1607,uva
175,163,12174,uva
176,163,1608,uva
177,163,1609,uva
178,163,1442,uva
179,163,12265,uva
180,157,Exercises,nil
181,180,1149,uva
182,180,1610,uva
183,180,12545,uva
